NAME	FECHA	LAYER	TIPO_FORES	SUP_m2	ALT_DOM	AB	VOL_m3/ha	C11	C12r	C12i	C13r	C13i	C22	C23r	C23i	C33	ang	C11_std	C12r_std	C12i_std	C13r_std	C13i_std	C22_std	C23r_std	C23i_std	C33_std	ang_std
CENTRO28	2019/02/22	parcela 27_28	ÑIRE	200	10.2	45	275	0.0954630300402641	-0.0132153481245041	-0.0313643291592598	0.0359560139477253	0.0260830093175173	0.0750634297728539	0.00587542727589607	0.0328413657844067	0.0872567296028137	25.5943813323975	0.0112037435173988	0.00219053728505969	0.00503293704241514	0.0101941963657737	0.00529536232352257	0.00592981325462461	0.00492468057200313	0.00811622012406588	0.0154532669112086	0.564228117465973
CENTRO27	2019/02/22	parcela 27_28	ÑIRE	200	8.5	34	181	0.0768706873059273	-0.0164895225316286	-0.00687130307778716	0.0268080811947584	0.00247235107235611	0.0575535297393799	-0.008175328373909	-0.00414600642398	0.0636135637760162	31.5458011627197	0.00489002885296941	0.00894893426448107	0.0106094852089882	0.00717889470979571	0.00324562890455127	0.025048578158021	0.0116662364453077	0.00376326916739345	0.00775386486202478	0.525434970855713
CENTRO29	2019/03/21	parcela 29_30	ÑIRE	200	5.6	18	66	0.265970587730408	0.0476883612573147	-0.110907919704914	0.0352166704833508	-0.106388352811337	0.288362771272659	0.104545205831528	-0.0992801561951637	0.25860533118248	25.0167179107666	0.19364421069622	0.106991194188595	0.150496959686279	0.0316181406378746	0.158051311969757	0.250770598649979	0.132689937949181	0.147737354040146	0.194398984313011	2.35099387168884
CENTRO30	2019/03/21	parcela 29_30	ÑIRE	200	8	27	117	0.14953301846981	-0.0368378721177578	0.0198804959654808	0.0447305291891098	-0.0100817875936627	0.0777910351753235	-0.00467930035665631	0.0110782915726304	0.108953878283501	30.5079154968262	0.0236704722046852	0.0128489090129733	0.00668069627135992	0.0162021052092314	0.0058051124215126	0.0145642040297389	0.00928111467510462	0.0109611665830016	0.0103343641385436	1.87700533866882
CENTRO33	2019/03/25	parcela 33_34	ÑIRE	200	NaN	NaN	NaN	0.0281124729663134	0.00257768225856125	0.00286422972567379	0.0110265733674169	0.00491265300661325	0.0268264431506395	0.00052339251851663	-0.00133446033578366	0.0454868376255035	24.40602684021	0.0083115678280592	0.00137478415854275	0.00098471820820123	0.0105066504329443	0.00163010891992599	0.00545833632349968	0.00226933183148503	0.00485784281045198	0.0102098928764462	1.22400557994843
CENTRO34	2019/03/25	parcela 33_34	ÑIRE	200	9.2	38	199	0.0449790246784687	0.00609435373917222	-0.00329233822412789	0.0241103321313858	0.00636941241100431	0.0174465086311102	0.00210402882657945	0.000285657966742292	0.0420644544064999	26.6045074462891	0.0249507278203964	0.00342499744147062	0.0015889594797045	0.0154280969873071	0.00602260138839483	0.0023272130638361	0.00279284408316016	0.000595058081671596	0.0185254700481892	0.692653954029083
CENTRO35	2019/03/29	parcela 35_36	ÑIRE	200	6.2	9	33	0.0646544545888901	-0.0132081247866154	-0.00428209034726024	0.0358341038227081	-0.0069528422318399	0.027722766622901	-0.0151895796880126	-0.007724744733423	0.129443868994713	35.0156059265137	0.0108642736449838	0.00348608801141381	0.00222687609493732	0.00331765087321401	0.00755013339221478	0.0049087405204773	0.0014719027094543	0.00200589303858578	0.00381126627326012	0.719584465026856
CENTRO36	2019/03/29	parcela 35_36	ÑIRE	200	8.9	34	168	0.0623227581381798	-0.00250000110827386	-0.00479387957602739	0.0156589485704899	0.008978471159935	0.0418348349630833	-0.00524754682555795	-0.00163217075169086	0.0484240725636482	34.3753356933594	0.0159598868340254	0.0062207099981606	0.00888802576810122	0.00814433954656124	0.00919927470386028	0.00862404052168131	0.00884078908711672	0.00493882549926639	0.0118157342076302	0.100866511464119
CENTRO37	2019/04/04	parcela 37_38	ÑIRE	200	3.3	3	9	0.10042667388916	0.0183236226439476	0.0303862988948822	0.00242738681845367	0.00550413131713867	0.171021044254303	0.0114546418190002	0.000589059025514871	0.101973839104176	23.5860042572022	0.0229276232421398	0.00967699568718672	0.013118433766067	0.0421857237815857	0.00200808304361999	0.0205683130770922	0.0173314027488232	0.0207781903445721	0.0195593368262053	0.205658406019211
CENTRO38	2019/04/04	parcela 37_38	ÑIRE	200	4.1	12	33	0.123120598495007	0.0132092610001564	0.00566384894773364	0.0449382998049259	0.0285677872598171	0.118118718266487	0.00168542796745896	-0.00717082992196083	0.108306773006916	20.5869407653809	0.0460106022655964	0.00791789218783379	0.00259214895777404	0.0110173625871539	0.0161833539605141	0.00639442633837462	0.0168102513998747	0.0110688228160143	0.0199848171323538	0.875059545040131
