NAME,FECHA,LAYER,TIPO_FORES,SUP_m2,Alt Dom,AB,Vol m3/ha ñire,Vol m3/ha total,manejo,C11,C12r,C12i,C13r,C13i,C22,C23r,C23i,C33,ang,C11_std,C12r_std,C12i_std,C13r_std,C13i_std,C22_std,C23r_std,C23i_std,C33_std,ang_std,LIA,PLIA,IAE,Nr Pix,NDVI,VV,VH,ang,VV_std,VH_std,ang_std,VV,VV (gamma0),VV (beta0),VH,VH (gamma0),VH (beta0),VV_std,VH_std,LIA,PLIA,IAE
CENTRO41,2019/04/11,parcela 41_42,ÑIRE,200,3.2,6,13,13,,0.0440,0.0001,-0.0120,-0.0039,0.0028,0.0421,0.0018,-0.0026,0.0344,37.37,0.0070,0.0061,0.0059,0.0013,0.0013,0.0053,0.0029,0.0010,0.0099,0.1297,37.37,37.27,27.54,2,0.60,0.138,0.039,26.79,0.004,0.001,0.99,0.0679,0.0880,0.1066,0.0184,0.0238,0.0288,0.0000,0.0000,52.70,52.69,39.59
CENTRO42,2019/04/11,parcela 41_42,ÑIRE,200,1.5,2,1,1,,0.0621,-0.0017,0.0036,0.0271,0.0004,0.0383,-0.0040,0.0043,0.0530,41.50,0.0044,0.0045,0.0094,0.0103,0.0020,0.0074,0.0052,0.0039,0.0044,1.4517,41.50,41.30,27.54,4,0.56,0.228,0.061,20.92,0.000,0.002,0.20,0.0760,0.0985,0.1193,0.0165,0.0213,0.0259,0.0009,0.0002,52.44,51.57,39.59
CENTRO44,2018/12/05,parcela 43_44,ÑIRE,200,3.6,16,41,41,,0.0783,0.0123,-0.0027,0.0340,0.0045,0.0314,0.0037,0.0042,0.0727,26.05,0.0302,0.0011,0.0063,0.0099,0.0072,0.0109,0.0078,0.0022,0.0161,0.3482,26.05,25.93,27.50,3,0.61,0.106,0.017,38.41,0.003,0.000,0.48,0.1065,0.1381,0.1674,0.0302,0.0391,0.0474,0.0006,0.0019,36.61,36.55,39.59
CENTRO43,2018/12/05,parcela 43_44,ÑIRE,200,3.8,15,39,39,,0.1736,-0.0143,-0.0194,0.0476,-0.0129,0.0738,0.0013,0.0057,0.0878,26.83,0.0129,0.0106,0.0042,0.0135,0.0157,0.0072,0.0092,0.0019,0.0067,0.2236,26.83,26.41,27.51,4,0.66,0.108,0.025,39.21,0.002,0.002,0.38,0.1067,0.1384,0.1677,0.0261,0.0339,0.0411,0.0011,0.0010,35.75,35.66,39.59
CENTRO48,2019/02/18,parcela 47_48,ÑIRE,200,2.9,7,16,16,,0.1414,0.0087,-0.0313,0.0425,0.0142,0.0743,0.0056,0.0114,0.0871,24.28,0.0138,0.0159,0.0044,0.0202,0.0136,0.0089,0.0110,0.0089,0.0079,0.8125,24.28,23.73,27.51,3,0.58,0.103,0.030,38.27,0.001,0.000,0.17,0.1079,0.1399,0.1696,0.0222,0.0288,0.0349,0.0004,0.0012,37.01,36.90,39.59
CENTRO47,2019/02/18,parcela 47_48,ÑIRE,200,3.1,3,7,7,,0.1195,-0.0057,-0.0009,0.0690,-0.0182,0.0577,-0.0093,0.0141,0.0858,24.56,0.0199,0.0060,0.0142,0.0159,0.0030,0.0052,0.0052,0.0096,0.0115,0.4997,24.56,23.77,27.51,3,0.71,0.089,0.023,36.29,0.001,0.000,0.62,0.0987,0.1279,0.1550,0.0287,0.0373,0.0451,0.0041,0.0010,37.55,37.14,39.59
CENTRO45,2019/02/18,parcela 47_48,ÑIRE,200,4.2,17,45,45,,0.1081,0.0005,0.0116,0.0515,0.0082,0.0462,0.0041,-0.0088,0.0973,24.07,0.0019,0.0063,0.0064,0.0353,0.0023,0.0124,0.0175,0.0016,0.0177,0.0589,24.07,23.87,27.50,2,0.74,0.117,0.030,41.48,0.004,0.001,1.34,0.1386,0.1796,0.2177,0.0239,0.0310,0.0375,0.0085,0.0006,33.49,33.47,39.59
CENTRO46,2019/02/18,parcela 47_48,ÑIRE,200,4.9,39,127,127,,0.0996,0.0071,0.0128,0.0281,-0.0076,0.0567,0.0186,-0.0259,0.1162,25.22,0.0412,0.0089,0.0026,0.0438,0.0058,0.0037,0.0066,0.0164,0.0204,0.4833,25.22,24.82,27.50,3,0.73,0.100,0.023,42.93,0.008,0.004,0.44,0.1559,0.2022,0.2450,0.0277,0.0360,0.0436,0.0041,0.0001,32.45,32.45,39.59
CENTRO50,2019/03/15,parcela 49_50,ÑIRE,200,3.1,4,8,8,,0.1369,0.0211,0.0035,0.0559,0.0081,0.0398,-0.0027,-0.0132,0.0989,25.19,0.0087,0.0028,0.0076,0.0201,0.0074,0.0029,0.0052,0.0038,0.0064,0.3009,25.19,25.16,27.50,3,0.82,0.126,0.025,42.24,0.005,0.000,0.25,0.1070,0.1387,0.1681,0.0356,0.0461,0.0559,0.0096,0.0009,33.59,33.58,39.58
CENTRO49,2019/03/15,parcela 49_50,ÑIRE,200,4.6,2,6,6,,0.1126,0.0254,0.0068,0.0390,-0.0230,0.0751,0.0171,0.0129,0.1126,24.44,0.0136,0.0077,0.0051,0.0092,0.0064,0.0172,0.0126,0.0040,0.0035,0.3927,24.44,24.38,27.50,4,0.77,0.123,0.026,41.70,0.020,0.001,0.14,0.1105,0.1432,0.1736,0.0257,0.0333,0.0404,0.0005,0.0029,34.82,34.81,39.58
CENTRO51,2019/03/16,parcela 51_52,ÑIRE,200,3.3,3,7,7,,0.0957,-0.0065,0.0009,0.0265,-0.0069,0.0739,0.0051,-0.0078,0.0848,20.27,0.0090,0.0095,0.0055,0.0111,0.0085,0.0066,0.0082,0.0020,0.0094,1.2698,20.27,20.17,27.50,4,0.79,0.125,0.028,38.86,0.013,0.001,0.77,0.1055,0.1368,0.1658,0.0295,0.0383,0.0464,0.0042,0.0008,36.05,35.87,39.58
CENTRO53,2019/04/12,parcela 53_54,ÑIRE,200,3.5,4,9,9,,0.1401,-0.0087,-0.0012,0.0494,0.0330,0.0819,-0.0063,0.0148,0.1388,24.99,0.0189,0.0137,0.0076,0.0192,0.0044,0.0119,0.0055,0.0194,0.0122,0.3668,24.99,24.85,27.50,4,0.80,0.109,0.027,40.44,0.003,0.002,0.95,0.0948,0.1229,0.1490,0.0279,0.0362,0.0439,0.0043,0.0024,33.58,33.45,39.58
CENTRO54,2019/04/12,parcela 53_54,ÑIRE,200,4.2,6,16,16,,0.1059,0.0179,0.0112,0.0380,-0.0024,0.0924,0.0096,0.0154,0.0865,27.22,0.0130,0.0020,0.0019,0.0022,0.0057,0.0109,0.0054,0.0077,0.0094,0.0396,27.22,26.98,27.50,3,0.79,0.093,0.031,38.63,0.002,0.001,0.02,0.0993,0.1287,0.1560,0.0225,0.0292,0.0354,0.0000,0.0000,35.37,35.04,39.58
CENTRO52,2019/04/12,parcela 53_54,ÑIRE,200,5.2,10,31,31,,0.2188,-0.0212,0.0314,0.0870,-0.0410,0.0671,-0.0206,-0.0068,0.1472,24.26,0.0284,0.0048,0.0086,0.0202,0.0046,0.0075,0.0100,0.0072,0.0140,0.4627,24.26,24.19,27.50,3,0.69,0.117,0.016,42.18,0.008,0.001,0.30,0.1425,0.1847,0.2239,0.0280,0.0363,0.0440,0.0036,0.0005,34.33,34.31,39.58
CENTRO5,2018/11/22,parcela 5_6,ÑIRE,200,7,16,61,69,TESTIGO,0.1252,0.0063,-0.0052,0.0414,0.0098,0.0558,0.0012,0.0023,0.1032,18.02,0.0218,0.0060,0.0165,0.0125,0.0063,0.0009,0.0070,0.0096,0.0220,0.3728,18.02,17.88,27.42,2,0.62,0.112,0.023,41.76,0.000,0.000,0.00,0.1241,0.1607,0.1953,0.0338,0.0438,0.0532,0.0079,0.0007,33.93,33.93,39.50
CENTRO6,2018/11/22,parcela 5_6,ÑIRE,200,7.2,32,116,142,RALEO,0.1463,-0.0025,0.0065,0.0578,0.0294,0.0313,-0.0159,-0.0106,0.1372,21.29,0.0305,0.0011,0.0047,0.0224,0.0077,0.0036,0.0059,0.0074,0.0172,0.6380,21.29,21.27,27.42,3,0.69,0.085,0.021,45.43,0.003,0.001,0.68,0.1122,0.1453,0.1767,0.0373,0.0484,0.0588,0.0030,0.0009,31.05,30.97,39.50
CENTRO7,2018/11/12,parcela 7_8,ÑIRE,200,7.6,8,41,41,TESTIGO,0.0700,-0.0158,0.0108,-0.0033,0.0231,0.0556,0.0151,0.0123,0.1197,19.85,0.0068,0.0024,0.0013,0.0082,0.0171,0.0052,0.0029,0.0078,0.0166,0.7164,19.85,19.55,27.44,3,0.71,0.088,0.024,36.45,0.000,0.000,0.24,0.1031,0.1335,0.1622,0.0257,0.0333,0.0405,0.0008,0.0013,36.01,35.62,39.51
CENTRO8,2018/11/12,parcela 7_8,ÑIRE,200,9.1,20,91,99,RALEO,0.0829,-0.0005,-0.0018,0.0247,0.0137,0.0403,-0.0097,0.0207,0.1003,22.26,0.0121,0.0036,0.0046,0.0038,0.0022,0.0062,0.0029,0.0019,0.0107,0.3243,22.26,22.02,27.43,3,0.62,0.083,0.017,42.03,0.000,0.000,0.00,0.1136,0.1472,0.1788,0.0302,0.0392,0.0476,0.0010,0.0001,31.77,31.60,39.51
CENTRO9,2018/11/13,parcela 9_10,ÑIRE,200,8.9,24,100,111,TESTIGO,0.0828,0.0086,0.0037,0.0213,-0.0003,0.0942,-0.0040,-0.0141,0.0634,23.19,0.0150,0.0014,0.0111,0.0123,0.0046,0.0037,0.0121,0.0052,0.0091,1.1306,23.19,23.19,27.42,3,0.64,0.090,0.021,45.07,0.001,0.001,1.22,0.1158,0.1499,0.1823,0.0240,0.0311,0.0378,0.0000,0.0000,30.27,30.27,39.50
CENTRO10,2018/11/13,parcela 9_10,ÑIRE,200,8,61,89,93,RALEO,0.0927,0.0157,0.0047,0.0528,-0.0160,0.0971,0.0004,-0.0071,0.0846,23.24,0.0047,0.0074,0.0048,0.0020,0.0066,0.0062,0.0097,0.0022,0.0021,0.4817,23.24,23.10,27.42,3,0.69,0.074,0.025,49.95,0.002,0.001,0.16,0.1259,0.1630,0.1981,0.0291,0.0377,0.0458,0.0024,0.0014,28.22,27.81,39.50
CENTRO32,2019/03/21,parcela 31_32,ÑIRE,200,4.8,14,34,43,,0.1411,-0.0036,-0.0002,0.0272,0.0078,0.0491,-0.0001,-0.0107,0.0915,27.36,0.0259,0.0046,0.0120,0.0085,0.0142,0.0046,0.0051,0.0067,0.0132,1.6425,27.36,27.36,27.57,3,0.64,0.134,0.038,36.26,0.005,0.002,0.74,0.1335,0.1732,0.2096,0.0240,0.0311,0.0377,0.0021,0.0013,40.59,40.59,39.62
